Stock,Side,Entry,StopLoss,Target,Confidence,Strategy,StrategyType,Timestamp,Notes,Action,ExitRule
RELIANCE.NS,BUY,1379.7,1359.0,1421.0999,0.96,market_structure_orderblock,intraday,09/10/2025 14:07:38,"{""last_peak_idx"": 376, ""last_trough_idx"": 359, ""peak_price"": 1393.3, ""trough_price"": 1359.0, ""zone_range"": 34.3, ""buy_threshold"": 1368.3639, ""sell_threshold"": 1383.9361, ""atr"": 6.457153, ""last_close"": 1379.7, ""move_pct"": 0.3418}",,
BHARTIARTL.NS,BUY,1939.4,1862.8,2092.6,0.86,market_structure_orderblock,intraday,09/10/2025 14:07:39,"{""last_peak_idx"": 327, ""last_trough_idx"": 351, ""peak_price"": 1945.6, ""trough_price"": 1862.8, ""zone_range"": 82.7999, ""buy_threshold"": 1885.4044, ""sell_threshold"": 1922.9956, ""atr"": 11.25715, ""last_close"": 1939.4, ""move_pct"": 0.0309}",,
SBIN.NS,SELL,858.25,875.32,824.11,0.5,closing_near_highlow_refined,daily,09/10/2025 14:07:40,,ENTER,Target/Stop or manual exit
SBIN.NS,SELL,864.45,874.1,845.1501,1.0,market_structure_orderblock,intraday,09/10/2025 14:07:40,"{""last_peak_idx"": 370, ""last_trough_idx"": 356, ""peak_price"": 874.1, ""trough_price"": 863.05, ""zone_range"": 11.05, ""buy_threshold"": 866.0666, ""sell_threshold"": 871.0833, ""atr"": 4.417855, ""last_close"": 864.45, ""move_pct"": 0.4824}",,
TATAMOTORS.NS,SELL,673.9,722.3,577.1001,0.92,market_structure_orderblock,intraday,09/10/2025 14:07:41,"{""last_peak_idx"": 358, ""last_trough_idx"": 344, ""peak_price"": 722.3, ""trough_price"": 669.4, ""zone_range"": 52.9, ""buy_threshold"": 683.8417, ""sell_threshold"": 707.8583, ""atr"": 5.467861, ""last_close"": 673.9, ""move_pct"": 0.2082}",,
TATAMOTORS.NS,SELL,673.9,739.5,542.7,0.58,orb_trend_filter,intraday,09/10/2025 14:07:41,,,
TATASTEEL.NS,BUY,175.82,169.94,187.58,0.91,market_structure_orderblock,intraday,09/10/2025 14:07:42,"{""last_peak_idx"": 359, ""last_trough_idx"": 368, ""peak_price"": 174.13, ""trough_price"": 169.94, ""zone_range"": 4.19, ""buy_threshold"": 171.0839, ""sell_threshold"": 172.9861, ""atr"": 1.673572, ""last_close"": 175.82, ""move_pct"": 0.1938}",,
INFY.NS,BUY,1495.0,1453.36,1578.28,0.61,closing_near_highlow_refined,daily,09/10/2025 14:07:42,,ENTER,Target/Stop or manual exit
INFY.NS,BUY,1502.3,1454.8,1597.3,0.91,market_structure_orderblock,intraday,09/10/2025 14:07:42,"{""last_peak_idx"": 301, ""last_trough_idx"": 377, ""peak_price"": 1544.0, ""trough_price"": 1454.8, ""zone_range"": 89.2, ""buy_threshold"": 1479.1516, ""sell_threshold"": 1519.6484, ""atr"": 11.657174, ""last_close"": 1502.3, ""move_pct"": -0.1661}",,
ICICIBANK.NS,BUY,1376.6,1363.4,1402.9999,0.92,market_structure_orderblock,intraday,09/10/2025 14:07:43,"{""last_peak_idx"": 371, ""last_trough_idx"": 361, ""peak_price"": 1380.9, ""trough_price"": 1363.4, ""zone_range"": 17.5, ""buy_threshold"": 1368.1775, ""sell_threshold"": 1376.1225, ""atr"": 6.185713, ""last_close"": 1376.6, ""move_pct"": 0.1965}",,
TCS.NS,BUY,3047.7,2894.3,3354.4998,0.94,market_structure_orderblock,intraday,09/10/2025 14:07:44,"{""last_peak_idx"": 286, ""last_trough_idx"": 360, ""peak_price"": 3181.0, ""trough_price"": 2894.3, ""zone_range"": 286.7, ""buy_threshold"": 2972.5691, ""sell_threshold"": 3102.7309, ""atr"": 20.049997, ""last_close"": 3047.7, ""move_pct"": 0.2797}",,
TITAN.NS,BUY,3547.3999,3411.1001,3819.9995,0.89,market_structure_orderblock,intraday,09/10/2025 14:07:45,"{""last_peak_idx"": 362, ""last_trough_idx"": 376, ""peak_price"": 3453.3, ""trough_price"": 3411.1001, ""zone_range"": 42.2, ""buy_threshold"": 3422.6207, ""sell_threshold"": 3441.7795, ""atr"": 29.085658, ""last_close"": 3547.3999, ""move_pct"": 0.1101}",,
MARUTI.NS,BUY,15898.0,15748.0,16198.0,0.88,market_structure_orderblock,intraday,09/10/2025 14:07:46,"{""last_peak_idx"": 379, ""last_trough_idx"": 362, ""peak_price"": 16188.0, ""trough_price"": 15748.0, ""zone_range"": 440.0, ""buy_threshold"": 15868.12, ""sell_threshold"": 16067.88, ""atr"": 75.428571, ""last_close"": 15898.0, ""move_pct"": 0.0755}",,
